CUSTOMER_CODE,FIRSTNAME,LASTNAME,INVOICE_CODE,AMOUNT,DATE,ITEM_CODE,QUANTITY
,Kwai,Yu,10107,95.7,2/24/2003 0:00,S10_1678,30
,Paul,Henriot,10121,81.35,05/07/03 0:00,S10_1678,34
,Daniel,Da Cunha,10134,94.74,07/01/03 0:00,S10_1678,41
,Julie,Young,10145,83.26,8/25/2003 0:00,S10_1678,45
,Julie,Brown,10159,100,10/10/03 0:00,S10_1678,49
,Juri,Hirano,10168,96.66,10/28/2003 0:00,S10_1678,36
,Martine,Rance,10180,86.13,11/11/03 0:00,S10_1678,29
,Veysel,Oeztan,10188,100,11/18/2003 0:00,S10_1678,48
,Julie,Murphy,10201,98.57,12/01/03 0:00,S10_1678,22
,Dominique,Perrier,10211,100,1/15/2004 0:00,S10_1678,41
,Peter,Ferguson,10223,100,2/20/2004 0:00,S10_1678,37
,Michael,Frick,10237,100,04/05/04 0:00,S10_1678,23
,William,Brown,10251,100,5/18/2004 0:00,S10_1678,28
,Julie,King,10263,100,6/28/2004 0:00,S10_1678,34
,Janine,Labrune,10275,92.83,7/23/2004 0:00,S10_1678,45
,Marta,Hernandez,10285,100,8/27/2004 0:00,S10_1678,36
,Matti,Karttunen,10299,100,9/30/2004 0:00,S10_1678,23
,Jonas,Bergulfsen,10309,100,10/15/2004 0:00,S10_1678,41
,Kyung,Yu,10318,94.74,11/02/04 0:00,S10_1678,46
,Kwai,Yu,10329,100,11/15/2004 0:00,S10_1678,42
,Georg,Pipps,10341,100,11/24/2004 0:00,S10_1678,41
,Adrian,Huxley,10361,72.55,12/17/2004 0:00,S10_1678,20
,Janine,Labrune,10375,34.91,02/03/05 0:00,S10_1678,21
,Violeta,Benitez,10388,76.36,03/03/05 0:00,S10_1678,42
,Elizabeth,Devon,10403,100,04/08/05 0:00,S10_1678,24
,Diego,Freyre,10417,100,5/13/2005 0:00,S10_1678,66
,Jonas,Bergulfsen,10103,100,1/29/2003 0:00,S10_1949,26
,Christina,Berglund,10112,100,3/24/2003 0:00,S10_1949,29
,Mart¡n,Sommer,10126,100,5/28/2003 0:00,S10_1949,38
,Juri,Hirano,10140,100,7/24/2003 0:00,S10_1949,37
,Eric,Natividad,10150,100,9/19/2003 0:00,S10_1949,45
,Maria,Hernandez,10163,100,10/20/2003 0:00,S10_1949,21
,Tony,Calaghan,10174,100,11/06/03 0:00,S10_1949,34
,Francisca,Cervantes,10183,100,11/13/2003 0:00,S10_1949,23
,Mary,Saveley,10194,100,11/25/2003 0:00,S10_1949,42
,Yoshi,Tannamuri,10206,100,12/05/03 0:00,S10_1949,47
,Steve,Thompson,10215,100,1/29/2004 0:00,S10_1949,35
,Kyung,Tseng,10228,100,03/10/04 0:00,S10_1949,29
,Leslie,Murphy,10245,100,05/04/04 0:00,S10_1949,34
,Akiko,Shimamura,10258,100,6/15/2004 0:00,S10_1949,32
,Adrian,Huxley,10270,100,7/19/2004 0:00,S10_1949,21
,Paolo,Accorti,10280,100,8/17/2004 0:00,S10_1949,34
,Maria,Larsson,10291,100,09/08/04 0:00,S10_1949,37
,Daniel,Tonini,10304,100,10/11/04 0:00,S10_1949,47
,Valarie,Nelson,10312,100,10/21/2004 0:00,S10_1949,48
,Valarie,Young,10322,100,11/04/04 0:00,S10_1949,40
,Julie,Murphy,10333,100,11/18/2004 0:00,S10_1949,26
,Peter,Ferguson,10347,100,11/29/2004 0:00,S10_1949,30
,Valarie,Nelson,10357,100,12/10/04 0:00,S10_1949,32
,Allen,Nelson,10369,100,1/20/2005 0:00,S10_1949,41
,Julie,Brown,10381,100,2/17/2005 0:00,S10_1949,36
,Anna,O'Hara,10391,100,03/09/05 0:00,S10_1949,24
,Jean,Fresnisre,10411,100,05/01/05 0:00,S10_1949,23
,Diego,Freyre,10424,100,5/31/2005 0:00,S10_1949,50
,Kwai,Yu,10107,99.91,2/24/2003 0:00,S10_2016,39
,Peter,Ferguson,10120,96.34,4/29/2003 0:00,S10_2016,29
,Daniel,Da Cunha,10134,100,07/01/03 0:00,S10_2016,27
